Study ID,Study,Citation,Year,QA pass,QA score,in_final_107_corpus,audit_note
P001,P001 - Pedreschi2008,Pedreschi2008,2008,Pass,7,Yes,Included in final 107-study analytical corpus.
P009,P009 - Feldman2015,Feldman2015,2015,Pass,9.5,Yes,Included in final 107-study analytical corpus.
P008,P008 - Zemel2013,Zemel2013,2013,Pass,9.5,Yes,Included in final 107-study analytical corpus.
P005,P005 - Kamiran2012,Kamiran2012,2012,Pass,9.5,Yes,Included in final 107-study analytical corpus.
P007,P007 - Sweeney2013,Sweeney2013,2013,Pass,9,Yes,Included in final 107-study analytical corpus.
P010,P010 - Hardt2016,Hardt2016,2016,Pass,10,Yes,Included in final 107-study analytical corpus.
P002,P002 - Finkelstein2008,Finkelstein2008,2008,Pass,7.5,Yes,Included in final 107-study analytical corpus.
P003,P003 - Torralba2011,Torralba2011,2008,Pass,7.5,Yes,Included in final 107-study analytical corpus.
P006,P006 - Kamishima2012,Kamishima2012,2012,Pass,9.5,Yes,Included in final 107-study analytical corpus.
P004,P004 - Dwork2012,Dwork2012,2012,Pass,9,Yes,Included in final 107-study analytical corpus.
P017,P017 - GrgicHlaca2017Randomness,GrgicHlaca2017Randomness,2017,Pass,9,Yes,Included in final 107-study analytical corpus.
P018,P018 - CorbettDavies2017,CorbettDavies2017,2017,Pass,10,Yes,Included in final 107-study analytical corpus.
P020,P020 - Kusner2017,Kusner2017,2017,Pass,10,Yes,Included in final 107-study analytical corpus.
P011,P011 -  Zhang2016Causal,Zhang2016Causal,2016,Pass,9.5,Yes,Included in final 107-study analytical corpus.
P013,P013 - BarocasSelbst2016,BarocasSelbst2016,2016,Pass,9,Yes,Included in final 107-study analytical corpus.
P014,P014 - Zafar2017a,Zafar2017a,2017,Pass,9.5,Yes,Included in final 107-study analytical corpus.
P019,P019 - Galhotra2017,Galhotra2017,2017,Pass,9,Yes,Included in final 107-study analytical corpus.
P012,P012 - GrgicHlaca2016,GrgicHlaca2016,2016,Pass,9.5,Yes,Included in final 107-study analytical corpus.
P016,P016 - Zafar2017c,Zafar2017c,2017,Pass,9.5,Yes,Included in final 107-study analytical corpus.
P015,P015 - Zafar2017b,Zafar2017b,2017,Pass,9.5,Yes,Included in final 107-study analytical corpus.
P025,P025 - Zhang2018Adversarial,Zhang2018Adversarial,2018,Pass,8.5,No,Present in broader coding-pass export but not present in final 107-study analytical corpus file; retained for transparency/auditability.
P026,P026 - Agarwal2018Reductions,Agarwal2018Reductions,2018,Pass,8.5,No,Present in broader coding-pass export but not present in final 107-study analytical corpus file; retained for transparency/auditability.
P028,P028 - Elzayn2019,Elzayn2019,2019,Pass,8.5,Yes,Included in final 107-study analytical corpus.
P021,P021 - Ensign2018,Ensign2018,2018,Pass,8,Yes,Included in final 107-study analytical corpus.
