source_database,screenshot_file,run_date,query_text,retrieved_count,reported_source_total_in_manuscript,visible_records_metadata_file,evidence_type
ACM Digital Library,raw/search_screenshots/ACM.zip::ACM/1.png,2025-11-17,"(""fairness definition"" OR ""fairness conceptualization"") AND (""machine learning"" OR ""ai systems"" OR ""social domains"")",321,634,Fairness_RE_SLR_Source_Database_Metadata_Extracted.csv,source database screenshot
ACM Digital Library,raw/search_screenshots/ACM.zip::ACM/2.png,2025-11-17,"(""fairness definition"" OR ""fairness conceptualization"") AND (""machine learning"" OR ""ai systems"" OR ""social domains"")",321,634,Fairness_RE_SLR_Source_Database_Metadata_Extracted.csv,source database screenshot
ACM Digital Library,raw/search_screenshots/ACM.zip::ACM/3.png,2025-11-17,"(""fairness definition"" OR ""fairness conceptualization"") AND (""machine learning"" OR ""ai systems"" OR ""social domains"")",321,634,Fairness_RE_SLR_Source_Database_Metadata_Extracted.csv,source database screenshot
ACM Digital Library,raw/search_screenshots/ACM.zip::ACM/4.png,2025-11-17,"(""fairness definition"" OR ""fairness conceptualization"") AND (""machine learning"" OR ""ai systems"" OR ""social domains"")",321,634,Fairness_RE_SLR_Source_Database_Metadata_Extracted.csv,source database screenshot
ACM Digital Library,raw/search_screenshots/ACM.zip::ACM/5.png,2025-11-17,"(""fairness definition"" OR ""fairness conceptualization"") AND (""machine learning"" OR ""ai systems"" OR ""social domains"")",321,634,Fairness_RE_SLR_Source_Database_Metadata_Extracted.csv,source database screenshot
ACM Digital Library,raw/search_screenshots/ACM.zip::ACM/6.png,2025-11-17,"(""fairness definition"" OR ""fairness conceptualization"") AND (""machine learning"" OR ""ai systems"" OR ""social domains"")",321,634,Fairness_RE_SLR_Source_Database_Metadata_Extracted.csv,source database screenshot
ACM Digital Library,raw/search_screenshots/ACM.zip::ACM/7.png,2025-11-17,"(""fairness definition"" OR ""fairness conceptualization"") AND (""machine learning"" OR ""ai systems"" OR ""social domains"")",321,634,Fairness_RE_SLR_Source_Database_Metadata_Extracted.csv,source database screenshot
ACM Digital Library,raw/search_screenshots/ACM.zip::ACM/8.png,2025-11-17,"(""fairness definition"" OR ""fairness conceptualization"") AND (""machine learning"" OR ""ai systems"" OR ""social domains"")",321,634,Fairness_RE_SLR_Source_Database_Metadata_Extracted.csv,source database screenshot
ACM Digital Library,raw/search_screenshots/ACM.zip::ACM/9.png,2025-11-17,"(""fairness definition"" OR ""fairness conceptualization"") AND (""machine learning"" OR ""ai systems"" OR ""social domains"")",321,634,Fairness_RE_SLR_Source_Database_Metadata_Extracted.csv,source database screenshot
ACM Digital Library,raw/search_screenshots/ACM.zip::ACM/10.png,2025-11-17,"(""fairness definition"" OR ""fairness conceptualization"") AND (""machine learning"" OR ""ai systems"" OR ""social domains"")",321,634,Fairness_RE_SLR_Source_Database_Metadata_Extracted.csv,source database screenshot
ACM Digital Library,raw/search_screenshots/ACM.zip::ACM/11.png,2025-11-17,"(""fairness definition"" OR ""fairness conceptualization"") AND (""machine learning"" OR ""ai systems"" OR ""social domains"")",321,634,Fairness_RE_SLR_Source_Database_Metadata_Extracted.csv,source database screenshot
ACM Digital Library,raw/search_screenshots/ACM.zip::ACM/12.png,2025-11-17,"(""fairness definition"" OR ""fairness conceptualization"") AND (""machine learning"" OR ""ai systems"" OR ""social domains"")",321,634,Fairness_RE_SLR_Source_Database_Metadata_Extracted.csv,source database screenshot
ACM Digital Library,raw/search_screenshots/ACM.zip::ACM/13.png,2025-11-17,"(""fairness definition"" OR ""fairness conceptualization"") AND (""machine learning"" OR ""ai systems"" OR ""social domains"")",321,634,Fairness_RE_SLR_Source_Database_Metadata_Extracted.csv,source database screenshot
ACM Digital Library,raw/search_screenshots/ACM.zip::ACM/14.png,2025-11-17,"(""fairness definition"" OR ""fairness conceptualization"") AND (""machine learning"" OR ""ai systems"" OR ""social domains"")",321,634,Fairness_RE_SLR_Source_Database_Metadata_Extracted.csv,source database screenshot
ACM Digital Library,raw/search_screenshots/ACM.zip::ACM/15.png,2025-11-17,"(""fairness definition"" OR ""fairness conceptualization"") AND (""machine learning"" OR ""ai systems"" OR ""social domains"")",321,634,Fairness_RE_SLR_Source_Database_Metadata_Extracted.csv,source database screenshot
ACM Digital Library,raw/search_screenshots/ACM.zip::ACM/16.png,2025-11-17,"(""fairness definition"" OR ""fairness conceptualization"") AND (""machine learning"" OR ""ai systems"" OR ""social domains"")",321,634,Fairness_RE_SLR_Source_Database_Metadata_Extracted.csv,source database screenshot
ACM Digital Library,raw/search_screenshots/ACM.zip::ACM/17.png,2025-11-17,"(""fairness definition"" OR ""fairness conceptualization"") AND (""machine learning"" OR ""ai systems"" OR ""social domains"")",321,634,Fairness_RE_SLR_Source_Database_Metadata_Extracted.csv,source database screenshot
ACM Digital Library,raw/search_screenshots/ACM.zip::ACM/18.png,2025-11-17,"(""fairness definition"" OR ""fairness conceptualization"") AND (""machine learning"" OR ""ai systems"" OR ""social domains"")",321,634,Fairness_RE_SLR_Source_Database_Metadata_Extracted.csv,source database screenshot
ACM Digital Library,raw/search_screenshots/ACM.zip::ACM/19.png,2025-11-17,"(""fairness definition"" OR ""fairness conceptualization"") AND (""machine learning"" OR ""ai systems"" OR ""social domains"")",321,634,Fairness_RE_SLR_Source_Database_Metadata_Extracted.csv,source database screenshot
ACM Digital Library,raw/search_screenshots/ACM.zip::ACM/20.png,2025-11-17,"(""fairness definition"" OR ""fairness conceptualization"") AND (""machine learning"" OR ""ai systems"" OR ""social domains"")",321,634,Fairness_RE_SLR_Source_Database_Metadata_Extracted.csv,source database screenshot
Google Scholar,raw/search_screenshots/Google Scholar.zip::Google Scholar/1.png,2025-11-17,"(""fairness definition"" OR ""fairness conceptualization"") AND (""machine learning"" OR ""ai systems"" OR ""social domains"")",1380,1405,Fairness_RE_SLR_Source_Database_Metadata_Extracted.csv,source database screenshot
Google Scholar,raw/search_screenshots/Google Scholar.zip::Google Scholar/2.png,2025-11-17,"(""fairness definition"" OR ""fairness conceptualization"") AND (""machine learning"" OR ""ai systems"" OR ""social domains"")",1380,1405,Fairness_RE_SLR_Source_Database_Metadata_Extracted.csv,source database screenshot
Google Scholar,raw/search_screenshots/Google Scholar.zip::Google Scholar/3.png,2025-11-17,"(""fairness definition"" OR ""fairness conceptualization"") AND (""machine learning"" OR ""ai systems"" OR ""social domains"")",1380,1405,Fairness_RE_SLR_Source_Database_Metadata_Extracted.csv,source database screenshot
Google Scholar,raw/search_screenshots/Google Scholar.zip::Google Scholar/4.png,2025-11-17,"(""fairness definition"" OR ""fairness conceptualization"") AND (""machine learning"" OR ""ai systems"" OR ""social domains"")",1380,1405,Fairness_RE_SLR_Source_Database_Metadata_Extracted.csv,source database screenshot
Google Scholar,raw/search_screenshots/Google Scholar.zip::Google Scholar/5.png,2025-11-17,"(""fairness definition"" OR ""fairness conceptualization"") AND (""machine learning"" OR ""ai systems"" OR ""social domains"")",1380,1405,Fairness_RE_SLR_Source_Database_Metadata_Extracted.csv,source database screenshot
Google Scholar,raw/search_screenshots/Google Scholar.zip::Google Scholar/6.png,2025-11-17,"(""fairness definition"" OR ""fairness conceptualization"") AND (""machine learning"" OR ""ai systems"" OR ""social domains"")",1380,1405,Fairness_RE_SLR_Source_Database_Metadata_Extracted.csv,source database screenshot
Google Scholar,raw/search_screenshots/Google Scholar.zip::Google Scholar/7.png,2025-11-17,"(""fairness definition"" OR ""fairness conceptualization"") AND (""machine learning"" OR ""ai systems"" OR ""social domains"")",1380,1405,Fairness_RE_SLR_Source_Database_Metadata_Extracted.csv,source database screenshot
Google Scholar,raw/search_screenshots/Google Scholar.zip::Google Scholar/8.png,2025-11-17,"(""fairness definition"" OR ""fairness conceptualization"") AND (""machine learning"" OR ""ai systems"" OR ""social domains"")",1380,1405,Fairness_RE_SLR_Source_Database_Metadata_Extracted.csv,source database screenshot
Google Scholar,raw/search_screenshots/Google Scholar.zip::Google Scholar/9.png,2025-11-17,"(""fairness definition"" OR ""fairness conceptualization"") AND (""machine learning"" OR ""ai systems"" OR ""social domains"")",1380,1405,Fairness_RE_SLR_Source_Database_Metadata_Extracted.csv,source database screenshot
Google Scholar,raw/search_screenshots/Google Scholar.zip::Google Scholar/10.png,2025-11-17,"(""fairness definition"" OR ""fairness conceptualization"") AND (""machine learning"" OR ""ai systems"" OR ""social domains"")",1380,1405,Fairness_RE_SLR_Source_Database_Metadata_Extracted.csv,source database screenshot
Google Scholar,raw/search_screenshots/Google Scholar.zip::Google Scholar/11.png,2025-11-17,"(""fairness definition"" OR ""fairness conceptualization"") AND (""machine learning"" OR ""ai systems"" OR ""social domains"")",1380,1405,Fairness_RE_SLR_Source_Database_Metadata_Extracted.csv,source database screenshot
Google Scholar,raw/search_screenshots/Google Scholar.zip::Google Scholar/12.png,2025-11-17,"(""fairness definition"" OR ""fairness conceptualization"") AND (""machine learning"" OR ""ai systems"" OR ""social domains"")",1380,1405,Fairness_RE_SLR_Source_Database_Metadata_Extracted.csv,source database screenshot
