record_id,source_database,source_file,source_record_key,search_run_id,metadata_format,bibtex_entry_type,title,authors,year,venue,doi,url,abstract,raw_identifier,normalized_title,normalized_doi,record_hash,duplicate_status,duplicate_of,dedup_key_type
SRCREC-0001,ACM Digital Library,ACM Digital Library/1. acm.bib,10.1145/3630106.3659044,1,BibTeX,inproceedings,Recommend Me? Designing Fairness Metrics with Providers,"Smith, Jessie J. and Satwani, Aishwarya and Burke, Robin and Fiesler, Casey",2024,"Proceedings of the 2024 ACM Conference on Fairness, Accountability, and Transparency",10.1145/3630106.3659044,https://doi.org/10.1145/3630106.3659044,"Fairness metrics have become a useful tool to measure how fair or unfair a machine learning system may be for its stakeholders. In the context of recommender systems, previous research has explored how various stakeholders experience algorithmic fairness or unfairness, but it is also important to capture these experiences in the design of fairness metrics. Therefore, we conducted four focus groups with providers (those whose items, content, or profiles are being recommended) of two different domains: content creators and dating app users. We explored how our participants experience unfairness on their associated platforms, and worked with them to co-design fairness goals, definitions, and metrics that might capture these experiences. This work represents an important step towards designing fairness metrics with the stakeholders who will be impacted by their operationalizations. We analyze the efficacy and challenges of enacting these metrics in practice and explore how future work might benefit from this methodology.",10.1145/3630106.3659044,recommend me designing fairness metrics with providers,10114536301063659044,e8ab47f337986591,unique,,doi
SRCREC-0002,ACM Digital Library,ACM Digital Library/1. acm.bib,10.1145/3715275.3732003,1,BibTeX,inproceedings,Justified Evidence Collection for Argument-based AI Fairness Assurance,"Sabuncuoglu, Alpay and Burr, Christopher and Maple, Carsten",2025,"Proceedings of the 2025 ACM Conference on Fairness, Accountability, and Transparency",10.1145/3715275.3732003,https://doi.org/10.1145/3715275.3732003,"It is well recognised that ensuring fair AI systems is a complex sociotechnical challenge, which requires careful deliberation and continuous oversight across all stages of a system’s lifecycle, from defining requirements to model deployment and deprovisioning. Dynamic argument-based assurance cases, which present structured arguments supported by evidence, have emerged as a systematic approach to evaluating and mitigating safety risks and hazards in AI-enabled system development and have also been extended to deal with broader normative goals such as fairness and explainability. This paper introduces a systems-engineering-driven framework, supported by software tooling, to operationalise a dynamic approach to argument-based assurance in two stages. In the first stage, during the requirements planning phase, a multi-disciplinary and multi-stakeholder team define goals and claims to be established (and evidenced) by conducting a comprehensive fairness governance process. In the second stage, a continuous monitoring interface gathers evidence from existing artefacts (e.g. metrics from automated tests), such as model, data, and use case documentation, to support these arguments dynamically. The framework’s effectiveness is demonstrated through an illustrative case study in finance, with a focus on supporting fairness-related arguments.",10.1145/3715275.3732003,justified evidence collection for argument based ai fairness assurance,10114537152753732003,0c441e2c65aedcde,unique,,doi
SRCREC-0003,ACM Digital Library,ACM Digital Library/1. acm.bib,10.1145/3652891,1,BibTeX,article,A Survey on Trustworthy Recommender Systems,"Ge, Yingqiang and Liu, Shuchang and Fu, Zuohui and Tan, Juntao and Li, Zelong and Xu, Shuyuan and Li, Yunqi and Xian, Yikun and Zhang, Yongfeng",2024,ACM Trans. Recomm. Syst.,10.1145/3652891,https://doi.org/10.1145/3652891,"Recommender systems (RS), serving at the forefront of Human-centered AI, are widely deployed in almost every corner of the web and facilitate the human decision-making process. However, despite their enormous capabilities and potential, RS may also lead to undesired effects on users, items, producers, platforms, or even the society at large, such as compromised user trust due to non-transparency, unfair treatment of different consumers, or producers, privacy concerns due to extensive use of user’s private data for personalization, just to name a few. All of these create an urgent need for Trustworthy Recommender Systems (TRS) so as to mitigate or avoid such adverse impacts and risks. In this survey, we will introduce techniques related to trustworthy recommendation, including but not limited to explainable recommendation, fairness in recommendation, privacy-aware recommendation, robustness in recommendation, user-controllable recommendation, as well as the relationship between these different perspectives in terms of trustworthy recommendation. Through this survey, we hope to deliver readers with a comprehensive view of the research area and raise attention to the community about the importance, existing research achievements, and future research directions on trustworthy recommendation.",10.1145/3652891,a survey on trustworthy recommender systems,1011453652891,783ff46feeb84b20,unique,,doi
SRCREC-0004,ACM Digital Library,ACM Digital Library/1. acm.bib,10.1145/3461702.3462516,1,BibTeX,inproceedings,Towards Unbiased and Accurate Deferral to Multiple Experts,"Keswani, Vijay and Lease, Matthew and Kenthapadi, Krishnaram",2021,"Proceedings of the 2021 AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3461702.3462516,https://doi.org/10.1145/3461702.3462516,"Machine learning models are often implemented in cohort with humans in the pipeline, with the model having an option to defer to a domain expert in cases where it has low confidence in its inference. Our goal is to design mechanisms for ensuring accuracy and fairness in such prediction systems that combine machine learning model inferences and domain expert predictions. Prior work on ""deferral systems"" in classification settings has focused on the setting of a pipeline with a single expert and aimed to accommodate the inaccuracies and biases of this expert to simultaneously learn an inference model and a deferral system. Our work extends this framework to settings where multiple experts are available, with each expert having their own domain of expertise and biases. We propose a framework that simultaneously learns a classifier and a deferral system, with the deferral system choosing to defer to one or more human experts in cases of input where the classifier has low confidence. We test our framework on a synthetic dataset and a content moderation dataset with biased synthetic experts, and show that it significantly improves the accuracy and fairness of the final predictions, compared to the baselines. We also collect crowdsourced labels for the content moderation task to construct a real-world dataset for the evaluation of hybrid machine-human frameworks and show that our proposed framework outperforms baselines on this real-world dataset as well.",10.1145/3461702.3462516,towards unbiased and accurate deferral to multiple experts,10114534617023462516,00ec62e2912127d5,unique,,doi
SRCREC-0005,ACM Digital Library,ACM Digital Library/1. acm.bib,10.1145/3705328.3748079,1,BibTeX,inproceedings,Mapping Stakeholder Needs to Multi-Sided Fairness in Candidate Recommendation for Algorithmic Hiring,"Kaya, Mesut and Bogers, Toine",2025,Proceedings of the Nineteenth ACM Conference on Recommender Systems,10.1145/3705328.3748079,https://doi.org/10.1145/3705328.3748079,"Already before the enactment of the EU AI Act, candidate or job recommendation for algorithmic hiring—semi-automatically matching CVs to job postings—was used as an example of a high-risk application where unfair treatment could result in serious harms to job seekers. Recommending candidates to jobs or jobs to candidates, however, is also a fitting example of a multi-stakeholder recommendation problem. In such multi-stakeholder systems, the end user is not the only party whose interests should be considered when generating recommendations. In addition to job seekers, other stakeholders—such as recruiters, organizations behind the job postings, and the recruitment agency itself—are also stakeholders in this and deserve to have their perspectives included in the design of relevant fairness metrics. Nevertheless, past analyses of fairness in algorithmic hiring have been restricted to single-side fairness, ignoring the perspectives of the other stakeholders. In this paper, we address this gap and present a multi-stakeholder approach to fairness in a candidate recommender system that recommends relevant candidate CVs to human recruiters in a human-in-the-loop algorithmic hiring scenario. We conducted semi-structured interviews with 40 different stakeholders (job seekers, companies, recruiters, and other job portal employees). We used these interviews to explore their lived experiences of unfairness in hiring, co-design definitions of fairness as well as metrics that might capture these experiences. Finally, we attempt to reconcile and map these different (and sometimes conflicting) perspectives and definitions to existing (categories of) fairness metrics that are relevant for our candidate recommendation scenario.",10.1145/3705328.3748079,mapping stakeholder needs to multi sided fairness in candidate recommendation for algorithmic hiring,10114537053283748079,aee05cbef7c62511,unique,,doi
SRCREC-0006,ACM Digital Library,ACM Digital Library/1. acm.bib,3716662.3716759,1,BibTeX,inproceedings,Proxy Fairness under the European Data Protection Regulation and the AI Act: A Perspective of Sensitivity and Necessity,"Papageorgiou, Ioanna",2025,"Proceedings of the 2024 AAAI/ACM Conference on AI, Ethics, and Society",,,"This paper navigates the convergence of the European Data Protection Regulation and the AI Act within the paradigm of computational methods that operationalise fairness in the absence of demographic data, notably through the use of proxy variables and inferential techniques (Proxy Fairness). Particularly, it explores the legal nature of the data involved in Proxy Fairness under the European Data Protection Regulation, focusing on the legal notion of Sensitivity. Moreover, it examines the lawfulness of processing sensitive personal data for Proxy Fairness purposes under the AI Act, particularly focusing on the legal requirement of Necessity. Through this analysis, the paper aims to shed light on core aspects of the legitimacy of Proxy Fairness in the context of EU law, providing a normative foundation to this line of Fair-AI approaches.",3716662.3716759,proxy fairness under the european data protection regulation and the ai act a perspective of sensitivity and necessity,,8d619f6f3801ad24,unique,,title
SRCREC-0007,ACM Digital Library,ACM Digital Library/1. acm.bib,10.1145/3715275,1,BibTeX,proceedings,"FAccT '25: Proceedings of the 2025 ACM Conference on Fairness, Accountability, and Transparency",,2025,Association for Computing Machinery,,,,10.1145/3715275,facct 25 proceedings of the 2025 acm conference on fairness accountability and transparency,,bc654f6b33f57d79,unique,,title
SRCREC-0008,ACM Digital Library,ACM Digital Library/1. acm.bib,10.1145/3637360,1,BibTeX,article,"""It's the most fair thing to do but it doesn't make any sense"": Perceptions of Mathematical Fairness Notions by Hiring Professionals","Sarkar, Priya and Liem, Cynthia C. S.",2024,Proc. ACM Hum.-Comput. Interact.,10.1145/3637360,https://doi.org/10.1145/3637360,"We explore the alignment of organizational representatives involved in hiring processes with five different, commonly proposed fairness notions. In a qualitative study with 17 organizational professionals, for each notion, we investigate their perception of understandability, fairness, potential to increase diversity, and practical applicability in the context of early candidate selection in hiring. In this, we do not explicitly frame our questions as questions of algorithmic fairness, but rather relate them to current human hiring practice. As our findings show, while many notions are well understood, fairness, potential to increase diversity and practical applicability are rated differently, illustrating the importance of understanding the application domain and its nuances, and calling for more interdisciplinary and human-centered research into the perception of mathematical fairness notions.",10.1145/3637360,it s the most fair thing to do but it doesn t make any sense perceptions of mathematical fairness notions by hiring professionals,1011453637360,0bdd1ad234f4ebd4,unique,,doi
SRCREC-0009,ACM Digital Library,ACM Digital Library/1. acm.bib,10.1145/3630106,1,BibTeX,proceedings,"FAccT '24: Proceedings of the 2024 ACM Conference on Fairness, Accountability, and Transparency",,2024,Association for Computing Machinery,,,,10.1145/3630106,facct 24 proceedings of the 2024 acm conference on fairness accountability and transparency,,a117c775f7c5a4d9,unique,,title
SRCREC-0010,ACM Digital Library,ACM Digital Library/1. acm.bib,10.1145/3640457,1,BibTeX,proceedings,RecSys '24: Proceedings of the 18th ACM Conference on Recommender Systems,,2024,Association for Computing Machinery,,,,10.1145/3640457,recsys 24 proceedings of the 18th acm conference on recommender systems,,3c9b8dd8665ea40f,unique,,title
