source_database,source_file,metadata_format,title,authors,year,venue,doi,url
ACM Digital Library,ACM Digital Library/1. acm.bib,BibTeX,Recommend Me? Designing Fairness Metrics with Providers,"Smith, Jessie J. and Satwani, Aishwarya and Burke, Robin and Fiesler, Casey",2024,"Proceedings of the 2024 ACM Conference on Fairness, Accountability, and Transparency",10.1145/3630106.3659044,https://doi.org/10.1145/3630106.3659044
ACM Digital Library,ACM Digital Library/1. acm.bib,BibTeX,Justified Evidence Collection for Argument-based AI Fairness Assurance,"Sabuncuoglu, Alpay and Burr, Christopher and Maple, Carsten",2025,"Proceedings of the 2025 ACM Conference on Fairness, Accountability, and Transparency",10.1145/3715275.3732003,https://doi.org/10.1145/3715275.3732003
ACM Digital Library,ACM Digital Library/1. acm.bib,BibTeX,A Survey on Trustworthy Recommender Systems,"Ge, Yingqiang and Liu, Shuchang and Fu, Zuohui and Tan, Juntao and Li, Zelong and Xu, Shuyuan and Li, Yunqi and Xian, Yikun and Zhang, Yongfeng",2024,ACM Trans. Recomm. Syst.,10.1145/3652891,https://doi.org/10.1145/3652891
ACM Digital Library,ACM Digital Library/1. acm.bib,BibTeX,Towards Unbiased and Accurate Deferral to Multiple Experts,"Keswani, Vijay and Lease, Matthew and Kenthapadi, Krishnaram",2021,"Proceedings of the 2021 AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3461702.3462516,https://doi.org/10.1145/3461702.3462516
ACM Digital Library,ACM Digital Library/1. acm.bib,BibTeX,Mapping Stakeholder Needs to Multi-Sided Fairness in Candidate Recommendation for Algorithmic Hiring,"Kaya, Mesut and Bogers, Toine",2025,Proceedings of the Nineteenth ACM Conference on Recommender Systems,10.1145/3705328.3748079,https://doi.org/10.1145/3705328.3748079
ACM Digital Library,ACM Digital Library/1. acm.bib,BibTeX,Proxy Fairness under the European Data Protection Regulation and the AI Act: A Perspective of Sensitivity and Necessity,"Papageorgiou, Ioanna",2025,"Proceedings of the 2024 AAAI/ACM Conference on AI, Ethics, and Society",,
ACM Digital Library,ACM Digital Library/1. acm.bib,BibTeX,"FAccT '25: Proceedings of the 2025 ACM Conference on Fairness, Accountability, and Transparency",,2025,Association for Computing Machinery,,
ACM Digital Library,ACM Digital Library/1. acm.bib,BibTeX,"""It's the most fair thing to do but it doesn't make any sense"": Perceptions of Mathematical Fairness Notions by Hiring Professionals","Sarkar, Priya and Liem, Cynthia C. S.",2024,Proc. ACM Hum.-Comput. Interact.,10.1145/3637360,https://doi.org/10.1145/3637360
ACM Digital Library,ACM Digital Library/1. acm.bib,BibTeX,"FAccT '24: Proceedings of the 2024 ACM Conference on Fairness, Accountability, and Transparency",,2024,Association for Computing Machinery,,
ACM Digital Library,ACM Digital Library/1. acm.bib,BibTeX,RecSys '24: Proceedings of the 18th ACM Conference on Recommender Systems,,2024,Association for Computing Machinery,,
IEEE Xplore,IEEE Xplore/1. IEEE Xplore Citation BibTeX.bib,BibTeX,QoA4ML - A Framework for Supporting Contracts in Machine Learning Services,"Truong, Hong-Linh and Nguyen, Tri-Minh",2021,2021 IEEE International Conference on Web Services (ICWS),10.1109/ICWS53863.2021.00066,
IEEE Xplore,IEEE Xplore/1. IEEE Xplore Citation BibTeX.bib,BibTeX,Algorithmic Decision Making Methods for Fair Credit Scoring,"Moldovan, Darie",2023,IEEE Access,10.1109/ACCESS.2023.3286018,
IEEE Xplore,IEEE Xplore/1. IEEE Xplore Citation BibTeX.bib,BibTeX,Investigating methods to identify and mitigate biases in AI algorithms to ensure fair and ethical outcomes,"Rajawat, Anand Singh and Goyal, S. B. and Abdul-Wadood, Dalia N.",2024,"2024 International Conference on Augmented Reality, Intelligent Systems, and Industrial Automation (ARIIA)",10.1109/ARIIA63345.2024.11051905,
IEEE Xplore,IEEE Xplore/1. IEEE Xplore Citation BibTeX.bib,BibTeX,Coexistence of Shared-Spectrum Radio Systems through Medium Access Pattern Learning using Artificial Neural Networks,"Lindner, Sebastian and Fisser, Leonard and Timm-Giel, Andreas",2020,2020 32nd International Teletraffic Congress (ITC 32),10.1109/ITC3249928.2020.00028,
IEEE Xplore,IEEE Xplore/1. IEEE Xplore Citation BibTeX.bib,BibTeX,The Different Faces of AI Ethics Across the World: A Principle-to-Practice Gap Analysis,"Tidjon, Lionel Nganyewou and Khomh, Foutse",2023,IEEE Transactions on Artificial Intelligence,10.1109/TAI.2022.3225132,
IEEE Xplore,IEEE Xplore/1. IEEE Xplore Citation BibTeX.bib,BibTeX,An Equilibrium Approach to Clustering: Surpassing Fuzzy $C$-Means on Imbalanced Data,"He, Yudong",2025,IEEE Transactions on Fuzzy Systems,10.1109/TFUZZ.2025.3590508,
IEEE Xplore,IEEE Xplore/1. IEEE Xplore Citation BibTeX.bib,BibTeX,CoFS: A Collaboration-Aware Fairness Scheme for NVMe SSD in Cloud Storage System,"Zhou, Yang and Wang, Fang and Shi, Zhan and Feng, Dan",2024,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,10.1109/TCAD.2024.3412970,
IEEE Xplore,IEEE Xplore/1. IEEE Xplore Citation BibTeX.bib,BibTeX,Authors Index,,2024,2024 IEEE International Conference on Blockchain and Cryptocurrency (ICBC),10.1109/ICBC59979.2024.10634375,
IEEE Xplore,IEEE Xplore/1. IEEE Xplore Citation BibTeX.bib,BibTeX,Final Program,,2024,2024 IEEE International Conference on Blockchain and Cryptocurrency (ICBC),10.1109/ICBC59979.2024.10634425,
IEEE Xplore,IEEE Xplore/10. IEEE Xplore Citation BibTeX.bib,BibTeX,Multiple feedback loops based nonlinear vibration control of a flexible arm with shape memory alloy actuator,"Furukawa, Izumi and Deng, Mingcong",2022,2022 International Conference on Advanced Mechatronic Systems (ICAMechS),10.1109/ICAMechS57222.2022.10003307,
SpringerLink,SpringerLink/1. SearchResults.csv,CSV,"Fairness-preserving framework for machine learning: data bias quantification, model evaluation, and robustness across multiple datasets",Shahadat UddinHaohui LuFarshid Hajati,2025,AI and Ethics,10.1007/s43681-025-00874-7,https://link.springer.com/article/10.1007/s43681-025-00874-7
SpringerLink,SpringerLink/1. SearchResults.csv,CSV,Fairness as a Service (FaaS): verifiable and privacy-preserving fairness auditing of machine learning systems,Ehsan ToreiniMaryam MehrnezhadAad van Moorsel,2023,International Journal of Information Security,10.1007/s10207-023-00774-z,https://link.springer.com/article/10.1007/s10207-023-00774-z
