record_id,source_database,source_file,source_record_key,search_run_id,metadata_format,bibtex_entry_type,title,authors,year,venue,doi,url,abstract,raw_identifier,normalized_title,normalized_doi,record_hash,duplicate_status,duplicate_of,dedup_key_type,screening_candidate_id,screening_stage,screening_decision,decision_basis
SRCREC-0049,ACM Digital Library,ACM Digital Library/2. acm.bib,10.1145/3674805.3695404,2,BibTeX,inproceedings,From Literature to Practice: Exploring Fairness Testing Tools for the Software Industry Adoption,"Nguyen, Thanh and Baldassarre, Maria Teresa and de Lima, Luiz Fernando and de Souza Santos, Ronnie",2024,Proceedings of the 18th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement,10.1145/3674805.3695404,https://doi.org/10.1145/3674805.3695404,"Context: The increasing integration of artificial intelligence and machine learning into software systems has highlighted the critical importance of ensuring fairness in these technologies. Bias in software can lead to inequitable outcomes, making fairness testing essential. However, the current landscape of fairness testing tools remains underexplored, particularly regarding their practical applicability and usability for software development practitioners. Goal: This study aimed to evaluate the practical applicability of existing fairness testing tools for software development practitioners, assessing their usability, documentation, and overall effectiveness in real-world industry settings. Method: We identified 41 fairness testing tools from the literature and conducted a heuristic evaluation and documentary analysis of their installation processes, user interfaces, supporting documentation, and update frequencies. Technical analysis included assessing configurability for diverse datasets. The analysis focused on identifying strengths and deficiencies to determine their suitability for industry use. Findings: Our findings revealed that most fairness testing tools show significant deficiencies, particularly in user-friendliness, detailed documentation, and configurability. These limitations restrict their practical use in industry settings. The tools also lack regular updates and possess a narrow focus on specific datasets, which constrains their versatility and scalability. Despite some strengths, such as cost-effectiveness and compatibility with several environments, the overall landscape of fairness testing tools requires substantial improvements to meet industry needs. Conclusion: There is a pressing need to develop fairness testing tools that align more closely with industry requirements, offering enhanced usability, comprehensive documentation, and greater configurability to effectively support software development practitioners. LAY ABSTRACT. In today’s world, we need to ensure that AI systems are fair and unbiased. Our study looked at tools designed to test the fairness of software to see if they are practical and easy for software developers to use. We found that while some tools are cost-effective and compatible with various programming environments, many are hard to use and lack detailed instructions. They also tend to focus on specific types of data, which limits their usefulness in real-world situations. Overall, current fairness testing tools need significant improvements to better support software developers in creating fair and equitable technology. We suggest that new tools should be user-friendly, well-documented, and flexible enough to handle different kinds of data, helping developers identify and fix biases early in the development process. This will lead to more trustworthy and fair software for everyone.",10.1145/3674805.3695404,from literature to practice exploring fairness testing tools for the software industry adoption,10114536748053695404,82447e743b406cdd,unique,,doi,TA-0001,title_abstract_screening,retained_for_title_abstract_pool,"ranked from attached source metadata using fairness/AI/requirements relevance terms, then manually alignable against final corpus list"
SRCREC-0535,ScienceDirect,ScienceDirect/5. ScienceDirect.bib,DIAZRODRIGUEZ2023101896,5,BibTeX,article,"Connecting the dots in trustworthy Artificial Intelligence: From AI principles, ethics, and key requirements to responsible AI systems and regulation",Natalia Díaz-Rodríguez and Javier {Del Ser} and Mark Coeckelbergh and Marcos {López de Prado} and Enrique Herrera-Viedma and Francisco Herrera,2023,Information Fusion,https://doi.org/10.1016/j.inffus.2023.101896,https://www.sciencedirect.com/science/article/pii/S1566253523002129,"Trustworthy Artificial Intelligence (AI) is based on seven technical requirements sustained over three main pillars that should be met throughout the system’s entire life cycle: it should be (1) lawful, (2) ethical, and (3) robust, both from a technical and a social perspective. However, attaining truly trustworthy AI concerns a wider vision that comprises the trustworthiness of all processes and actors that are part of the system’s life cycle, and considers previous aspects from different lenses. A more holistic vision contemplates four essential axes: the global principles for ethical use and development of AI-based systems, a philosophical take on AI ethics, a risk-based approach to AI regulation, and the mentioned pillars and requirements. The seven requirements (human agency and oversight; robustness and safety; privacy and data governance; transparency; diversity, non-discrimination and fairness; societal and environmental wellbeing; and accountability) are analyzed from a triple perspective: What each requirement for trustworthy AI is, Why it is needed, and How each requirement can be implemented in practice. On the other hand, a practical approach to implement trustworthy AI systems allows defining the concept of responsibility of AI-based systems facing the law, through a given auditing process. Therefore, a responsible AI system is the resulting notion we introduce in this work, and a concept of utmost necessity that can be realized through auditing processes, subject to the challenges posed by the use of regulatory sandboxes. Our multidisciplinary vision of trustworthy AI culminates in a debate on the diverging views published lately about the future of AI. Our reflections in this matter conclude that regulation is a key for reaching a consensus among these views, and that trustworthy and responsible AI systems will be crucial for the present and future of our society.",https://doi.org/10.1016/j.inffus.2023.101896,connecting the dots in trustworthy artificial intelligence from ai principles ethics and key requirements to responsible ai systems and regulation,httpsdoiorg101016jinffus2023101896,d10c4eb644316476,unique,,doi,TA-0002,title_abstract_screening,retained_for_title_abstract_pool,"ranked from attached source metadata using fairness/AI/requirements relevance terms, then manually alignable against final corpus list"
SRCREC-0020,ACM Digital Library,ACM Digital Library/10. acm.bib,10.1145/3514094.3534157,10,BibTeX,inproceedings,FairCanary: Rapid Continuous Explainable Fairness,"Ghosh, Avijit and Shanbhag, Aalok and Wilson, Christo",2022,"Proceedings of the 2022 AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3514094.3534157,https://doi.org/10.1145/3514094.3534157,"Systems that offer continuous model monitoring have emerged in response to (1) well-documented failures of deployed Machine Learning (ML) and Artificial Intelligence (AI) models and (2) new regulatory requirements impacting these models. Existing monitoring systems continuously track the performance of deployed ML models and compute feature importance (a.k.a. explanations) for each prediction to help developers identify the root causes of emergent model performance problems.We present Quantile Demographic Drift (QDD), a novel model bias quantification metric that uses quantile binning to measure differences in the overall prediction distributions over subgroups. QDD is ideal for continuous monitoring scenarios, does not suffer from the statistical limitations of conventional threshold-based bias metrics, and does not require outcome labels (which may not be available at runtime). We incorporate QDD into a continuous model monitoring system, called FairCanary, that reuses existing explanations computed for each individual prediction to quickly compute explanations for the QDD bias metrics. This optimization makes FairCanary an order of magnitude faster than previous work that has tried to generate feature-level bias explanations.",10.1145/3514094.3534157,faircanary rapid continuous explainable fairness,10114535140943534157,4b7fc0c1efb62110,unique,,doi,TA-0003,title_abstract_screening,retained_for_title_abstract_pool,"ranked from attached source metadata using fairness/AI/requirements relevance terms, then manually alignable against final corpus list"
SRCREC-0051,ACM Digital Library,ACM Digital Library/2. acm.bib,10.1145/3194770,2,BibTeX,proceedings,FairWare '18: Proceedings of the International Workshop on Software Fairness,,2018,Association for Computing Machinery,,,"Modern software is full of examples of bias. FairWare 2018, the IEEE/ACM International Workshop on Software Fairness, brings together academics, practitioners, and policy makers interested in solving this problem and creating software engineering technology to improve software fairness. FairWare 2018 connects a variety of topics pertaining to software fairness, including surveys of real-world software exhibiting bias, definitions of measures of bias in software, approaches to detecting bias in software, standards for software fairness, and research challenges and roadmaps.The central goal of FairWare 2018 is to stimulate research on the software engineering and system building sides of the fairness problem, complementing recent work the machine learning [1, 4--7] and theoretical [2] sides of the problem. Recent work [3] has identified some of the software engineering challenges of the problem, but more such challenges remain to be identified and solved, from fairness requirements elicitation and specification, to designing systems with fairness properties, to analysis and testing of fairness, to fairness maintenance. FairWare 2018 elevates these issues to the forefront in hopes of increasing research activity on this important problem.",10.1145/3194770,fairware 18 proceedings of the international workshop on software fairness,,8887217cd6d9eb9c,unique,,title,TA-0004,title_abstract_screening,retained_for_title_abstract_pool,"ranked from attached source metadata using fairness/AI/requirements relevance terms, then manually alignable against final corpus list"
SRCREC-0043,ACM Digital Library,ACM Digital Library/2. acm.bib,10.1145/3674805.3695394,2,BibTeX,inproceedings,FRINGE: context-aware FaiRness engineerING in complex software systEms,"Palomba, Fabio and Di Sorbo, Andrea and Di Ruscio, Davide and Ferrucci, Filomena and Catolino, Gemma and Giordano, Giammaria and Di Dario, Dario and Voria, Gianmario and Pentangelo, Viviana and Tortorella, Maria and Sgueglia, Arnaldo and Di Sipio, Claudio and D'Aloisio, Giordano and Di Marco, Antinisca",2024,Proceedings of the 18th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement,10.1145/3674805.3695394,https://doi.org/10.1145/3674805.3695394,"Machine learning (ML) is essential in modern technology, driving complex data-driven decisions. By 2025, daily data generation will exceed 463 exabytes, increasing ML’s influence and ethical risks of data exploitation and discrimination. The European Union’s Artificial Intelligence Act highlights the need for ethical AI solutions. Project Fringe (context-aware FaiRness engineerING in complex software systEms) addresses software fairness in ML-intensive systems that collect data through interconnected devices. Fringe aims to provide software engineers, data scientists, and ML experts with methodologies and software engineering solutions to improve fairness in ML systems. The goals of the project include developing a metamodel for ML fairness, a fairness-aware monitoring infrastructure, contextual solutions for identifying fairness issues, and automated recommendation systems to design fairness properties throughout the software development lifecycle.",10.1145/3674805.3695394,fringe context aware fairness engineering in complex software systems,10114536748053695394,eebc2b1bbc6ce5f8,unique,,doi,TA-0005,title_abstract_screening,retained_for_title_abstract_pool,"ranked from attached source metadata using fairness/AI/requirements relevance terms, then manually alignable against final corpus list"
SRCREC-0056,ACM Digital Library,ACM Digital Library/3. acm.bib,10.1145/3727967.3756824,3,BibTeX,inproceedings,A Catalog of Fairness-Aware Practices in Machine Learning Engineering,"Voria, Gianmario and Sellitto, Giulia and Ferrara, Carmine and Abate, Francesco and De Lucia, Andrea and Ferrucci, Filomena and Catolino, Gemma and Palomba, Fabio",2025,Proceedings of the 2025 29th International Conference on Evaluation and Assessment in Software Engineering Companion,10.1145/3727967.3756824,https://doi.org/10.1145/3727967.3756824,"Artificial Intelligence (AI)’s widespread adoption in decision-making processes, particularly with the introduction of AI-based assistants, raises concerns about ethics and fairness, particularly regarding the treatment of sensitive features and potential discrimination against underrepresented groups. The software engineering community has responded by developing fairness-oriented metrics, empirical studies, and mitigation approaches. However, there remains a gap in understanding and categorizing practices for engineering fairness throughout the development lifecycle of AI-based solutions. This paper presents a catalog of practices for addressing fairness derived from a systematic mapping study. The study identifies and categorizes 28 practices from existing literature, mapping them onto different stages of the development lifecycle. From this catalog, actionable items and implications for both researchers and practitioners in software engineering were extracted. This work aims to provide a comprehensive resource for integrating fairness considerations into the development and deployment of AI systems, enhancing their reliability, accountability, and credibility.",10.1145/3727967.3756824,a catalog of fairness aware practices in machine learning engineering,10114537279673756824,85e1529b5b0dac37,unique,,doi,TA-0006,title_abstract_screening,retained_for_title_abstract_pool,"ranked from attached source metadata using fairness/AI/requirements relevance terms, then manually alignable against final corpus list"
SRCREC-0045,ACM Digital Library,ACM Digital Library/2. acm.bib,10.1145/3762170,2,BibTeX,article,Software Fairness: An Analysis and Survey,"Soremekun, Ezekiel and Papadakis, Mike and Cordy, Maxime and Le Traon, Yves",2025,ACM Comput. Surv.,10.1145/3762170,https://doi.org/10.1145/3762170,"In the last decade, researchers have studied fairness as a software property. In particular, how to engineer fair software systems. This includes specifying, designing, and validating fairness properties. However, the landscape of works addressing bias as a software engineering concern is unclear, i.e., techniques and studies that analyze the fairness properties of learning-based software. In this work, we provide a clear view of the state-of-the-art in software fairness analysis. To this end, we collect, categorize and conduct in-depth analysis of 164 publications investigating the fairness of learning-based software systems. Specifically, we study the evaluated fairness measure, the studied tasks, the type of fairness analysis, the main idea of the proposed approaches and the access level (e.g., black, white or grey box). Our findings include the following: (1) Fairness concerns (such as fairness specification and requirements engineering) are under-studied; (2) Fairness measures such as conditional, sequential and intersectional fairness are under-explored; (3) Semi-structured datasets (e.g., audio, image, code and text) are barely studied for fairness analysis in the SE community; and (4) Software fairness analysis techniques hardly employ white-box, in-processing machine learning (ML) analysis methods. In summary, we observed several open challenges including the need to study intersectional/sequential bias, policy-based bias handling and human-in-the-loop, socio-technical bias mitigation.",10.1145/3762170,software fairness an analysis and survey,1011453762170,bfa6b77c43c9e6c9,unique,,doi,TA-0007,title_abstract_screening,retained_for_title_abstract_pool,"ranked from attached source metadata using fairness/AI/requirements relevance terms, then manually alignable against final corpus list"
SRCREC-0476,ScienceDirect,ScienceDirect/2. ScienceDirect.bib,BOGINA2022808,2,BibTeX,article,"Educating Software and AI Stakeholders About Algorithmic Fairness, Accountability, Transparency and Ethics",Veronika Bogina and Alan Hartman and Tsvi Kuflik and Avital Shulner-Tal,2022,International Journal of Artificial Intelligence in Education,https://doi.org/10.1007/s40593-021-00248-0,https://www.sciencedirect.com/science/article/pii/S1560429226002180,"This paper discusses educating stakeholders of algorithmic systems (systems that apply Artificial Intelligence/Machine learning algorithms) in the areas of algorithmic fairness, accountability, transparency and ethics (FATE). We begin by establishing the need for such education and identifying the intended consumers of educational materials on the topic. We discuss the topics of greatest concern and in need of educational resources; we also survey the existing materials and past experiences in such education, noting the scarcity of suitable material on aspects of fairness in particular. We use an example of a college admission platform to illustrate our ideas. We conclude with recommendations for further work in the area and report on the first steps taken towards achieving this goal in the framework of an academic graduate seminar course, a graduate summer school, an embedded lecture in a software engineering course, and a workshop for high school teachers.",https://doi.org/10.1007/s40593-021-00248-0,educating software and ai stakeholders about algorithmic fairness accountability transparency and ethics,httpsdoiorg101007s40593021002480,9ef912ce4450e1d3,unique,,doi,TA-0008,title_abstract_screening,retained_for_title_abstract_pool,"ranked from attached source metadata using fairness/AI/requirements relevance terms, then manually alignable against final corpus list"
SRCREC-0163,ACM Digital Library,ACM Digital Library/8. acm.bib,10.1145/3580305.3599180,8,BibTeX,inproceedings,Addressing Bias and Fairness in Machine Learning: A Practical Guide and Hands-on Tutorial,"Ghani, Rayid and Rodolfa, Kit T. and Saleiro, Pedro and Jesus, S\'{e}rgio",2023,Proceedings of the 29th ACM SIGKDD Conference on Knowledge Discovery and Data Mining,10.1145/3580305.3599180,https://doi.org/10.1145/3580305.3599180,"As data science and machine learning (ML) increasingly shape our society, the importance of developing fair algorithmic decision-making systems becomes paramount. There is a pressing need to train data scientists and practitioners on handling bias and fairness in real-world scenarios, from early stages of a data science project to maintaining ML systems in production. Existing resources are mostly academic and cover the ML training and optimization aspects of bias mitigation, leaving practitioners without comprehensive frameworks for making decisions throughout a real-world project lifecycle. This tutorial aims to bridge the gap between research and practice, providing an in-depth exploration of algorithmic fairness, encompassing metrics and definitions, practical case studies, data bias understanding, bias mitigation and model fairness audits using the Aequitas toolkit. Participants will be equipped to engage in conversations about bias, assist decision-makers in understanding options and trade-offs, evaluate project scoping aspects influencing fairness outcomes, and define actions and interventions based on model predictions. They will also learn to identify cohorts, target variables, evaluation metrics, and establish bias and fairness goals for different groups. Moreover, participants will gain insights into auditing and mitigating model bias, and implementing continuous monitoring to assess retraining needs. The tutorial addresses the current lack of practical training materials, methodologies, and tools for researchers and developers working on real-world algorithmic decision-making systems. By the conclusion of this hands-on tutorial, attendees will be well-versed in navigating bias-related issues, selecting appropriate metrics, and applying bias audit and mitigation frameworks and tools for informed design decisions in real-world data science systems.",10.1145/3580305.3599180,addressing bias and fairness in machine learning a practical guide and hands on tutorial,10114535803053599180,774b48891950ee0a,unique,,doi,TA-0009,title_abstract_screening,retained_for_title_abstract_pool,"ranked from attached source metadata using fairness/AI/requirements relevance terms, then manually alignable against final corpus list"
SRCREC-0076,ACM Digital Library,ACM Digital Library/4. acm.bib,10.1145/3639478.3643121,4,BibTeX,inproceedings,Data vs. Model Machine Learning Fairness Testing: An Empirical Study,"Shome, Arumoy and Cruz, Lu\'{\i}s and Van Deursen, Arie",2024,Proceedings of the 2024 IEEE/ACM 46th International Conference on Software Engineering: Companion Proceedings,10.1145/3639478.3643121,https://doi.org/10.1145/3639478.3643121,"Although several fairness definitions and bias mitigation techniques exist in the literature, all existing solutions evaluate fairness of Machine Learning (ML) systems after the training stage. In this paper, we take the first steps towards evaluating a more holistic approach by testing for fairness both before and after model training. We evaluate the effectiveness of the proposed approach and position it within the ML development lifecycle, using an empirical analysis of the relationship between model dependent and independent fairness metrics. The study uses 2 fairness metrics, 4 ML algorithms, 5 real-world datasets and 1600 fairness evaluation cycles. We find a linear relationship between data and model fairness metrics when the distribution and the size of the training data changes. Our results indicate that testing for fairness prior to training can be a ""cheap"" and effective means of catching a biased data collection process early; detecting data drifts in production systems and minimising execution of full training cycles thus reducing development time and costs.",10.1145/3639478.3643121,data vs model machine learning fairness testing an empirical study,10114536394783643121,de169fe8b7ab6888,unique,,doi,TA-0010,title_abstract_screening,retained_for_title_abstract_pool,"ranked from attached source metadata using fairness/AI/requirements relevance terms, then manually alignable against final corpus list"
